Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Internal Peptidyl-Lysine Acetylation (GO:0018393)	1/39	0.19369781676341763	0.320616005271257	0	0	4.792853693867697	7.8672583563896525	MORF4L2
Negative Regulation Of Protein Phosphorylation (GO:0001933)	2/149	0.19779796507551756	0.32244316093937275	0	0	2.4871504157218443	4.030450000220263	DNAJC3;TRIB3
Regulation Of Cytosolic Calcium Ion Concentration (GO:0051480)	1/40	0.1981411368718355	0.32244316093937275	0	0	4.669724770642202	7.559236936463064	WNT5A
Regulation Of Glycolytic Process (GO:0006110)	1/40	0.1981411368718355	0.32244316093937275	0	0	4.669724770642202	7.559236936463064	NUPR1
Cellular Response To Heat (GO:0034605)	1/40	0.1981411368718355	0.32244316093937275	0	0	4.669724770642202	7.559236936463064	HMOX1
Positive Regulation Of Cell Cycle G1/S Phase Transition (GO:1902808)	1/40	0.1981411368718355	0.32244316093937275	0	0	4.669724770642202	7.559236936463064	CCND2
Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197)	1/40	0.1981411368718355	0.32244316093937275	0	0	4.669724770642202	7.559236936463064	WDR1
Positive Regulation Of Stem Cell Population Maintenance (GO:1902459)	1/40	0.1981411368718355	0.32244316093937275	0	0	4.669724770642202	7.559236936463064	PHF10
Protein Deacetylation (GO:0006476)	1/40	0.1981411368718355	0.32244316093937275	0	0	4.669724770642202	7.559236936463064	MORF4L2
Regulation Of Autophagosome Assembly (GO:2000785)	1/40	0.1981411368718355	0.32244316093937275	0	0	4.669724770642202	7.559236936463064	NUPR1
Neuron Development (GO:0048666)	2/150	0.19979604974151943	0.3245285368698699	0	0	2.47022022022022	3.9781863700016444	WNT5A;MANF
Acylglycerol Metabolic Process (GO:0006639)	1/41	0.20256019239962478	0.32536932938128266	0	0	4.552752293577981	7.269462402569759	SEL1L
Non-Canonical Wnt Signaling Pathway (GO:0035567)	1/41	0.20256019239962478	0.32536932938128266	0	0	4.552752293577981	7.269462402569759	WNT5A
Cellular Response To Retinoic Acid (GO:0071300)	1/41	0.20256019239962478	0.32536932938128266	0	0	4.552752293577981	7.269462402569759	WNT5A
Heart Contraction (GO:0060047)	1/41	0.20256019239962478	0.32536932938128266	0	0	4.552752293577981	7.269462402569759	TPM1
Positive Regulation Of Ossification (GO:0045778)	1/41	0.20256019239962478	0.32536932938128266	0	0	4.552752293577981	7.269462402569759	WNT5A
Visual System Development (GO:0150063)	1/41	0.20256019239962478	0.32536932938128266	0	0	4.552752293577981	7.269462402569759	SMOC1
Organic Hydroxy Compound Biosynthetic Process (GO:1901617)	1/42	0.2069551146013749	0.3269890810701723	0	0	4.441485791004699	6.996465357506592	PSAT1
Cardiac Ventricle Morphogenesis (GO:0003208)	1/42	0.2069551146013749	0.3269890810701723	0	0	4.441485791004699	6.996465357506592	TPM1
Ceramide Biosynthetic Process (GO:0046513)	1/42	0.2069551146013749	0.3269890810701723	0	0	4.441485791004699	6.996465357506592	SGMS2
Determination Of Heart Left/Right Asymmetry (GO:0061371)	1/42	0.2069551146013749	0.3269890810701723	0	0	4.441485791004699	6.996465357506592	NDRG4
Embryonic Heart Tube Morphogenesis (GO:0003143)	1/42	0.2069551146013749	0.3269890810701723	0	0	4.441485791004699	6.996465357506592	NDRG4
Substantia Nigra Development (GO:0021762)	1/42	0.2069551146013749	0.3269890810701723	0	0	4.441485791004699	6.996465357506592	HSPA5
Translational Elongation (GO:0006414)	1/42	0.2069551146013749	0.3269890810701723	0	0	4.441485791004699	6.996465357506592	TCF25
Keratinocyte Differentiation (GO:0030216)	1/42	0.2069551146013749	0.3269890810701723	0	0	4.441485791004699	6.996465357506592	WNT5A
Lysosome Localization (GO:0032418)	1/42	0.2069551146013749	0.3269890810701723	0	0	4.441485791004699	6.996465357506592	FAM98A
Positive Regulation Of miRNA Transcription (GO:1902895)	1/43	0.21132603413708448	0.3320837679297042	0	0	4.335517693315858	6.738925594728281	GNL3
Positive Regulation Of Stress Fiber Assembly (GO:0051496)	1/43	0.21132603413708448	0.3320837679297042	0	0	4.335517693315858	6.738925594728281	TPM1
Regulation Of JUN Kinase Activity (GO:0043506)	1/43	0.21132603413708448	0.3320837679297042	0	0	4.335517693315858	6.738925594728281	WNT5A
Negative Regulation Of Immune System Process (GO:0002683)	1/44	0.21567308084543482	0.3358779699904711	0	0	4.234478344356732	6.495653924470375	HMOX1
Cellular Response To Ketone (GO:1901655)	1/44	0.21567308084543482	0.3358779699904711	0	0	4.234478344356732	6.495653924470375	PCK2
Regulation Of Transport (GO:0051049)	1/44	0.21567308084543482	0.3358779699904711	0	0	4.234478344356732	6.495653924470375	PTPRN
Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961)	1/44	0.21567308084543482	0.3358779699904711	0	0	4.234478344356732	6.495653924470375	WNT5A
Regulation Of B Cell Proliferation (GO:0030888)	1/44	0.21567308084543482	0.3358779699904711	0	0	4.234478344356732	6.495653924470375	VAV3
Positive Regulation Of Innate Immune Response (GO:0045089)	1/45	0.2199963839366141	0.34077871237240226	0	0	4.138031693077565	6.26557656093455	WNT5A
Triglyceride Metabolic Process (GO:0006641)	1/45	0.2199963839366141	0.34077871237240226	0	0	4.138031693077565	6.26557656093455	SEL1L
Hexose Metabolic Process (GO:0019318)	1/45	0.2199963839366141	0.34077871237240226	0	0	4.138031693077565	6.26557656093455	SLC35A2
B Cell Receptor Signaling Pathway (GO:0050853)	1/46	0.22429607190440792	0.34261190570838274	0	0	4.045871559633028	6.047721674132826	VAV3
Regulation Of Fibroblast Proliferation (GO:0048145)	1/46	0.22429607190440792	0.34261190570838274	0	0	4.045871559633028	6.047721674132826	WNT5A
Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536)	1/46	0.22429607190440792	0.34261190570838274	0	0	4.045871559633028	6.047721674132826	HMOX1
Response To Hydrogen Peroxide (GO:0042542)	1/46	0.22429607190440792	0.34261190570838274	0	0	4.045871559633028	6.047721674132826	HMOX1
Development Of Primary Male Sexual Characteristics (GO:0046546)	1/46	0.22429607190440792	0.34261190570838274	0	0	4.045871559633028	6.047721674132826	WNT5A
Male Gonad Development (GO:0008584)	1/46	0.22429607190440792	0.34261190570838274	0	0	4.045871559633028	6.047721674132826	WNT5A
Negative Regulation Of Cellular Metabolic Process (GO:0031324)	1/46	0.22429607190440792	0.34261190570838274	0	0	4.045871559633028	6.047721674132826	NUPR1
Regulation Of Intracellular Signal Transduction (GO:1902531)	3/297	0.22433391754668558	0.34261190570838274	0	0	1.8687774175090597	2.7931114193903848	VAV3;WNT5A;SQSTM1
Negative Regulation Of Hydrolase Activity (GO:0051346)	1/47	0.22857227256715507	0.3454422693232309	0	0	3.957718388512166	5.841207759401188	SLC39A14
Cognition (GO:0050890)	1/47	0.22857227256715507	0.3454422693232309	0	0	3.957718388512166	5.841207759401188	SLC1A4
Epithelial To Mesenchymal Transition (GO:0001837)	1/47	0.22857227256715507	0.3454422693232309	0	0	3.957718388512166	5.841207759401188	WNT5A
Insulin Receptor Signaling Pathway (GO:0008286)	1/47	0.22857227256715507	0.3454422693232309	0	0	3.957718388512166	5.841207759401188	SLC39A14
Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)	1/47	0.22857227256715507	0.3454422693232309	0	0	3.957718388512166	5.841207759401188	HMOX1
Regulation Of T Cell Differentiation (GO:0045580)	1/47	0.22857227256715507	0.3454422693232309	0	0	3.957718388512166	5.841207759401188	PHF10
Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)	1/48	0.2328251130659166	0.3506499536469351	0	0	3.873316416162405	5.645233548869816	NUPR1
Retrograde Vesicle-Mediated Transport, Golgi To Endoplasmic Reticulum (GO:0006890)	1/48	0.2328251130659166	0.3506499536469351	0	0	3.873316416162405	5.645233548869816	KDELR3
Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)	1/49	0.2370547198597219	0.3539528377286913	0	0	3.7924311926605503	5.4590692324491465	PHF10
Nuclear Export (GO:0051168)	1/49	0.2370547198597219	0.3539528377286913	0	0	3.7924311926605503	5.4590692324491465	CALR
Erythrocyte Differentiation (GO:0030218)	1/49	0.2370547198597219	0.3539528377286913	0	0	3.7924311926605503	5.4590692324491465	HSPA9
Positive Regulation Of miRNA Metabolic Process (GO:2000630)	1/49	0.2370547198597219	0.3539528377286913	0	0	3.7924311926605503	5.4590692324491465	GNL3
Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)	1/49	0.2370547198597219	0.3539528377286913	0	0	3.7924311926605503	5.4590692324491465	AMIGO3
Regulation Of Mitochondrion Organization (GO:0010821)	1/50	0.24126121869049608	0.35716524538678207	0	0	3.714847406852649	5.282048795926194	SQSTM1
Nucleocytoplasmic Transport (GO:0006913)	1/50	0.24126121869049608	0.35716524538678207	0	0	3.714847406852649	5.282048795926194	RBM15B
Positive Regulation Of Cell Death (GO:0010942)	1/50	0.24126121869049608	0.35716524538678207	0	0	3.714847406852649	5.282048795926194	WNT5A
tRNA Processing (GO:0008033)	1/50	0.24126121869049608	0.35716524538678207	0	0	3.714847406852649	5.282048795926194	FAM98A
Pyruvate Metabolic Process (GO:0006090)	1/50	0.24126121869049608	0.35716524538678207	0	0	3.714847406852649	5.282048795926194	PCK2
Heart Development (GO:0007507)	2/171	0.2421982960888752	0.35794271990005533	0	0	2.160968660968661	3.0642502831263108	NDRG4;TCF25
RNA Modification (GO:0009451)	1/51	0.24544473465125444	0.3584730662385548	0	0	3.6403669724770644	5.113563312888186	RBM15B
Amide Biosynthetic Process (GO:0043604)	1/51	0.24544473465125444	0.3584730662385548	0	0	3.6403669724770644	5.113563312888186	SGMS2
Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024)	1/51	0.24544473465125444	0.3584730662385548	0	0	3.6403669724770644	5.113563312888186	CALR
Positive Regulation Of DNA Recombination (GO:0045911)	1/51	0.24544473465125444	0.3584730662385548	0	0	3.6403669724770644	5.113563312888186	MORF4L2
Positive Regulation Of Actin Filament Bundle Assembly (GO:0032233)	1/51	0.24544473465125444	0.3584730662385548	0	0	3.6403669724770644	5.113563312888186	TPM1
Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377)	1/51	0.24544473465125444	0.3584730662385548	0	0	3.6403669724770644	5.113563312888186	SQSTM1
Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078)	1/51	0.24544473465125444	0.3584730662385548	0	0	3.6403669724770644	5.113563312888186	SQSTM1
Regulation Of Neuron Projection Development (GO:0010975)	2/174	0.24830134411584698	0.36203669133669636	0	0	2.122954349698536	2.9575135477320673	NDRG4;WNT5A
Cartilage Development (GO:0051216)	1/52	0.24960539218951888	0.36211533524656414	0	0	3.5688073394495414	4.953055058030853	SLC39A14
Positive Regulation Of B Cell Activation (GO:0050871)	1/52	0.24960539218951888	0.36211533524656414	0	0	3.5688073394495414	4.953055058030853	VAV3
Positive Regulation Of Telomere Maintenance (GO:0032206)	1/52	0.24960539218951888	0.36211533524656414	0	0	3.5688073394495414	4.953055058030853	GNL3
Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029)	1/53	0.2537433150138595	0.3638662388565081	0	0	3.5	4.80001232811148	CCND2
Negative Regulation Of Viral Genome Replication (GO:0045071)	1/53	0.2537433150138595	0.3638662388565081	0	0	3.5	4.80001232811148	ISG20
Regulation Of Proteasomal Protein Catabolic Process (GO:0061136)	1/53	0.2537433150138595	0.3638662388565081	0	0	3.5	4.80001232811148	NUPR1
Endosome Organization (GO:0007032)	1/53	0.2537433150138595	0.3638662388565081	0	0	3.5	4.80001232811148	SQSTM1
Gonad Development (GO:0008406)	1/53	0.2537433150138595	0.3638662388565081	0	0	3.5	4.80001232811148	WNT5A
Protein Homotetramerization (GO:0051289)	1/53	0.2537433150138595	0.3638662388565081	0	0	3.5	4.80001232811148	SHMT2
Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)	1/53	0.2537433150138595	0.3638662388565081	0	0	3.5	4.80001232811148	RBM15B
Apical Junction Assembly (GO:0043297)	1/54	0.25785862628579265	0.3661423958208396	0	0	3.4337891639259133	4.653964868867731	WDR1
Regulation Of Myoblast Differentiation (GO:0045661)	1/54	0.25785862628579265	0.3661423958208396	0	0	3.4337891639259133	4.653964868867731	PHF10
Endoplasmic Reticulum Organization (GO:0007029)	1/54	0.25785862628579265	0.3661423958208396	0	0	3.4337891639259133	4.653964868867731	SEC31A
Epidermal Cell Differentiation (GO:0009913)	1/54	0.25785862628579265	0.3661423958208396	0	0	3.4337891639259133	4.653964868867731	WNT5A
Positive Regulation Of Leukocyte Chemotaxis (GO:0002690)	1/54	0.25785862628579265	0.3661423958208396	0	0	3.4337891639259133	4.653964868867731	CALR
Mesenchymal Cell Differentiation (GO:0048762)	1/54	0.25785862628579265	0.3661423958208396	0	0	3.4337891639259133	4.653964868867731	WNT5A
Response To Peptide Hormone (GO:0043434)	1/55	0.26195144837135037	0.37134715927357825	0	0	3.3700305810397553	4.514479836563591	CRY1
Regulation Of Stem Cell Population Maintenance (GO:2000036)	1/56	0.2660219030789233	0.37650331233808526	0	0	3.3085904920767306	4.381158211780202	PHF10
RNA Catabolic Process (GO:0006401)	1/57	0.27007011153701066	0.379145277747435	0	0	3.2493446920052427	4.253631617884755	ISG20
Signal Transduction In Response To DNA Damage (GO:0042770)	1/57	0.27007011153701066	0.379145277747435	0	0	3.2493446920052427	4.253631617884755	CRY1
Striated Muscle Contraction (GO:0006941)	1/57	0.27007011153701066	0.379145277747435	0	0	3.2493446920052427	4.253631617884755	TPM1
Positive Regulation Of Interleukin-1 Beta Production (GO:0032731)	1/57	0.27007011153701066	0.379145277747435	0	0	3.2493446920052427	4.253631617884755	WNT5A
Myeloid Cell Differentiation (GO:0030099)	1/57	0.27007011153701066	0.379145277747435	0	0	3.2493446920052427	4.253631617884755	HSPA9
Positive Regulation Of Gene Expression (GO:0010628)	4/480	0.2715162505103095	0.38049455710952795	0	0	1.5390835579514826	2.00655446574398	SLC24A3;ADM2;WNT5A;FAM98A
Regulation Of Neuron Death (GO:1901214)	1/58	0.27409619418937226	0.38049455710952795	0	0	3.1921776919362626	4.131559486823796	WNT5A
Regulation Of Phagocytosis (GO:0050764)	1/58	0.27409619418937226	0.38049455710952795	0	0	3.1921776919362626	4.131559486823796	CALR
Eye Development (GO:0001654)	1/58	0.27409619418937226	0.38049455710952795	0	0	3.1921776919362626	4.131559486823796	SMOC1
Glycosaminoglycan Biosynthetic Process (GO:0006024)	1/58	0.27409619418937226	0.38049455710952795	0	0	3.1921776919362626	4.131559486823796	CHPF2
mRNA Transport (GO:0051028)	1/58	0.27409619418937226	0.38049455710952795	0	0	3.1921776919362626	4.131559486823796	RBM15B
Regulation Of Bone Mineralization (GO:0030500)	1/58	0.27409619418937226	0.38049455710952795	0	0	3.1921776919362626	4.131559486823796	SGMS2
Negative Regulation Of Protein-Containing Complex Assembly (GO:0031333)	1/59	0.2781002708931863	0.38360180223202994	0	0	3.1369819677317303	4.01462652923265	HSPA5
Regulation Of miRNA Transcription (GO:1902893)	1/59	0.2781002708931863	0.38360180223202994	0	0	3.1369819677317303	4.01462652923265	GNL3
Chordate Embryonic Development (GO:0043009)	1/59	0.2781002708931863	0.38360180223202994	0	0	3.1369819677317303	4.01462652923265	WNT5A
Positive Regulation Of Protein Binding (GO:0032092)	1/59	0.2781002708931863	0.38360180223202994	0	0	3.1369819677317303	4.01462652923265	TRIB3
Response To Light Stimulus (GO:0009416)	1/60	0.28208246079563276	0.38663983979716854	0	0	3.083657285025657	3.902540475199397	CRY1
Response To Retinoic Acid (GO:0032526)	1/60	0.28208246079563276	0.38663983979716854	0	0	3.083657285025657	3.902540475199397	WNT5A
Positive Regulation Of Phagocytosis (GO:0050766)	1/60	0.28208246079563276	0.38663983979716854	0	0	3.083657285025657	3.902540475199397	CALR
Histone Acetylation (GO:0016573)	1/60	0.28208246079563276	0.38663983979716854	0	0	3.083657285025657	3.902540475199397	MORF4L2
Neuron Projection Development (GO:0031175)	2/192	0.28497438728556035	0.38900041455908374	0	0	1.9200779727095516	2.410381349603418	BHLHA15;MANF
Modification-Dependent Protein Catabolic Process (GO:0019941)	2/192	0.28497438728556035	0.38900041455908374	0	0	1.9200779727095516	2.410381349603418	SYVN1;SQSTM1
BMP Signaling Pathway (GO:0030509)	1/61	0.2860428825123757	0.38900041455908374	0	0	3.032110091743119	3.7950300472565033	FAM83G
Negative Regulation Of Viral Process (GO:0048525)	1/61	0.2860428825123757	0.38900041455908374	0	0	3.032110091743119	3.7950300472565033	ISG20
Negative Regulation Of Autophagy (GO:0010507)	1/61	0.2860428825123757	0.38900041455908374	0	0	3.032110091743119	3.7950300472565033	NUPR1
Regulation Of Cell Differentiation (GO:0045595)	2/193	0.2870102011023661	0.3897060386843065	0	0	1.90992825286019	2.38404410562023	PHF10;SMOC1
Negative Regulation Of Kinase Activity (GO:0033673)	1/62	0.2899816538800114	0.3912951199095185	0	0	2.9822529703714844	3.6918431458274656	TRIB3
RNA Methylation (GO:0001510)	1/62	0.2899816538800114	0.3912951199095185	0	0	2.9822529703714844	3.6918431458274656	RBM15B
Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235)	1/62	0.2899816538800114	0.3912951199095185	0	0	2.9822529703714844	3.6918431458274656	NUPR1
mRNA Export From Nucleus (GO:0006406)	1/62	0.2899816538800114	0.3912951199095185	0	0	2.9822529703714844	3.6918431458274656	RBM15B
Regulation Of Programmed Cell Death (GO:0043067)	2/195	0.2910801083066382	0.3921683939821219	0	0	1.8899443484935714	2.3324876001766865	MORF4L2;CALR
Endomembrane System Organization (GO:0010256)	2/196	0.29311409223789814	0.39413292794478594	0	0	1.8801069110347461	2.307254703127598	SQSTM1;SEC31A
Phosphatidylinositol Metabolic Process (GO:0046488)	1/63	0.2938988921843743	0.39413292794478594	0	0	2.9340041432376442	3.5927452129104887	PITPNM2
Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	1/63	0.2938988921843743	0.39413292794478594	0	0	2.9340041432376442	3.5927452129104887	CCND2
Regulation Of Secretion By Cell (GO:1903530)	1/64	0.2977947140853323	0.39690737199410087	0	0	2.887287024901704	3.4975177614977278	MCTP2
Positive Regulation Of T Cell Differentiation (GO:0045582)	1/64	0.2977947140853323	0.39690737199410087	0	0	2.887287024901704	3.4975177614977278	PHF10
Response To Metal Ion (GO:0010038)	1/64	0.2977947140853323	0.39690737199410087	0	0	2.887287024901704	3.4975177614977278	SEC31A
Positive Regulation Of Interleukin-1 Production (GO:0032732)	1/64	0.2977947140853323	0.39690737199410087	0	0	2.887287024901704	3.4975177614977278	WNT5A
RNA Export From Nucleus (GO:0006405)	1/65	0.3016692355749791	0.39961976480892814	0	0	2.8420298165137616	3.405957048527756	RBM15B
Autophagosome Assembly (GO:0000045)	1/65	0.3016692355749791	0.39961976480892814	0	0	2.8420298165137616	3.405957048527756	ARFIP2
Canonical Wnt Signaling Pathway (GO:0060070)	1/65	0.3016692355749791	0.39961976480892814	0	0	2.8420298165137616	3.405957048527756	WNT5A
Positive Regulation Of T Cell Proliferation (GO:0042102)	1/65	0.3016692355749791	0.39961976480892814	0	0	2.8420298165137616	3.405957048527756	SLC7A1
Regulation Of Translation (GO:0006417)	2/202	0.3053010674130815	0.4028818135931012	0	0	1.8231481481481482	2.163086669046851	SHMT2;CALR
Cellular Response To BMP Stimulus (GO:0071773)	1/66	0.30552257210339895	0.4028818135931012	0	0	2.7981651376146788	3.317872874173932	FAM83G
Cellular Response To Type II Interferon (GO:0071346)	1/66	0.30552257210339895	0.4028818135931012	0	0	2.7981651376146788	3.317872874173932	WNT5A
Regulation Of Viral Genome Replication (GO:0045069)	1/67	0.3093548383708666	0.40670099023340855	0	0	2.7556296914095078	3.233087498187903	ISG20
Negative Regulation Of Cellular Catabolic Process (GO:0031330)	1/67	0.3093548383708666	0.40670099023340855	0	0	2.7556296914095078	3.233087498187903	NUPR1
Skin Development (GO:0043588)	1/68	0.3131661486220948	0.4110897026474326	0	0	2.7143639600164318	3.151434653142769	WNT5A
Regulation Of Heart Contraction (GO:0008016)	1/69	0.316956616363491	0.4154378576468683	0	0	2.6743119266055047	3.0727586537046534	TPM1
Negative Regulation Of Epithelial Cell Proliferation (GO:0050680)	1/70	0.3207263545237492	0.4178578741846148	0	0	2.6354208216992423	2.99691358305925	NUPR1
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)	1/70	0.3207263545237492	0.4178578741846148	0	0	2.6354208216992423	2.99691358305925	HMOX1
Sulfur Compound Biosynthetic Process (GO:0044272)	1/70	0.3207263545237492	0.4178578741846148	0	0	2.6354208216992423	2.99691358305925	CHPF2
Protein K48-linked Ubiquitination (GO:0070936)	1/70	0.3207263545237492	0.4178578741846148	0	0	2.6354208216992423	2.99691358305925	SYVN1
Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:0010569)	1/71	0.324475475451092	0.4195970062008913	0	0	2.5976408912188726	2.9237625536484795	MORF4L2
Regulation Of Hydrolase Activity (GO:0051336)	1/71	0.324475475451092	0.4195970062008913	0	0	2.5976408912188726	2.9237625536484795	VAV3
Cell-Cell Junction Assembly (GO:0007043)	1/71	0.324475475451092	0.4195970062008913	0	0	2.5976408912188726	2.9237625536484795	WDR1
Positive Regulation Of Cell-Substrate Adhesion (GO:0010811)	1/71	0.324475475451092	0.4195970062008913	0	0	2.5976408912188726	2.9237625536484795	CALR
Synapse Assembly (GO:0007416)	1/71	0.324475475451092	0.4195970062008913	0	0	2.5976408912188726	2.9237625536484795	WNT5A
Second-Messenger-Mediated Signaling (GO:0019932)	1/72	0.32820409090333813	0.4231592804080131	0	0	2.5609251841323166	2.8531770332976674	MCTP2
Negative Regulation Of Catabolic Process (GO:0009895)	1/72	0.32820409090333813	0.4231592804080131	0	0	2.5609251841323166	2.8531770332976674	NUPR1
Protein Tetramerization (GO:0051262)	1/73	0.3319123119240805	0.42730636898077917	0	0	2.5252293577981653	2.7850362309498995	SHMT2
Negative Regulation Of DNA-templated Transcription (GO:0045892)	7/1025	0.33392903919615796	0.4292667678423983	0	0	1.2598851736700556	1.3818757806614355	RBM15B;TCF25;WNT5A;CRY1;TRIB3;CALR;ETV5
Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806)	1/74	0.3356002491615161	0.430777867830661	0	0	2.4905114993087847	2.719226531887658	PHF10
Regulation Of Stress Fiber Assembly (GO:0051492)	1/75	0.3392680124455164	0.434843514476628	0	0	2.456731961319117	2.6556409864028727	TPM1
Proteasomal Protein Catabolic Process (GO:0010498)	2/220	0.3415990741451327	0.4369409868234838	0	0	1.6710839279646619	1.794940536815647	SEL1L;SYVN1
Wnt Signaling Pathway (GO:0016055)	1/76	0.342915711177924	0.4369409868234838	0	0	2.4238532110091744	2.5941788353579835	WNT5A
Positive Regulation Of Interleukin-6 Production (GO:0032755)	1/76	0.342915711177924	0.4369409868234838	0	0	2.4238532110091744	2.5941788353579835	WNT5A
Regulation Of Ras Protein Signal Transduction (GO:0046578)	1/76	0.342915711177924	0.4369409868234838	0	0	2.4238532110091744	2.5941788353579835	SQSTM1
Embryonic Organ Development (GO:0048568)	1/77	0.3465434541312139	0.43898871959187297	0	0	2.3918396909705457	2.5347450792227493	NDRG4
Positive Regulation Of Response To Stimulus (GO:0048584)	1/77	0.3465434541312139	0.43898871959187297	0	0	2.3918396909705457	2.5347450792227493	WNT5A
Positive Regulation Of Synaptic Transmission (GO:0050806)	1/77	0.3465434541312139	0.43898871959187297	0	0	2.3918396909705457	2.5347450792227493	SQSTM1
Regulation Of T Cell Proliferation (GO:0042129)	1/77	0.3465434541312139	0.43898871959187297	0	0	2.3918396909705457	2.5347450792227493	SLC7A1
Negative Regulation Of Protein Modification Process (GO:0031400)	1/78	0.3501513494777171	0.44162775427595957	0	0	2.3606576909329204	2.4772500806489153	PPP1R15A
Organonitrogen Compound Catabolic Process (GO:1901565)	1/78	0.3501513494777171	0.44162775427595957	0	0	2.3606576909329204	2.4772500806489153	SQSTM1
Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760)	1/78	0.3501513494777171	0.44162775427595957	0	0	2.3606576909329204	2.4772500806489153	WNT5A
Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)	1/79	0.35373950479824035	0.4419446226560698	0	0	2.330275229357798	2.4216091992241946	CCND2
Regulation Of Neuron Differentiation (GO:0045664)	1/79	0.35373950479824035	0.4419446226560698	0	0	2.330275229357798	2.4216091992241946	CALR
Positive Regulation Of Catabolic Process (GO:0009896)	1/79	0.35373950479824035	0.4419446226560698	0	0	2.330275229357798	2.4216091992241946	WNT5A
Positive Regulation Of Endocytosis (GO:0045807)	1/79	0.35373950479824035	0.4419446226560698	0	0	2.330275229357798	2.4216091992241946	CALR
Positive Regulation Of Protein Localization To Membrane (GO:1905477)	1/79	0.35373950479824035	0.4419446226560698	0	0	2.330275229357798	2.4216091992241946	SQSTM1
Negative Regulation Of Cellular Component Organization (GO:0051129)	1/79	0.35373950479824035	0.4419446226560698	0	0	2.330275229357798	2.4216091992241946	HSPA5
DNA Damage Response (GO:0006974)	3/384	0.35396255163247936	0.4419446226560698	0	0	1.435646478769593	1.4910109761119166	VAV3;PPP1R15A;CRY1
Calcium Ion Transmembrane Transport (GO:0070588)	1/80	0.3573080270815959	0.4435723936198669	0	0	2.300661944025084	2.3677424553608226	SLC24A3
Regulation Of Protein Localization To Plasma Membrane (GO:1903076)	1/80	0.3573080270815959	0.4435723936198669	0	0	2.300661944025084	2.3677424553608226	SQSTM1
Response To Type II Interferon (GO:0034341)	1/80	0.3573080270815959	0.4435723936198669	0	0	2.300661944025084	2.3677424553608226	WNT5A
Glycoprotein Biosynthetic Process (GO:0009101)	1/80	0.3573080270815959	0.4435723936198669	0	0	2.300661944025084	2.3677424553608226	GMPPB
Activation Of Protein Kinase Activity (GO:0032147)	1/81	0.3608570228738811	0.44606650480427124	0	0	2.271788990825688	2.315574219667066	WNT5A
Histone Modification (GO:0016570)	1/81	0.3608570228738811	0.44606650480427124	0	0	2.271788990825688	2.315574219667066	MORF4L2
Macromolecule Modification (GO:0043412)	1/81	0.3608570228738811	0.44606650480427124	0	0	2.271788990825688	2.315574219667066	GGCX
Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	1/82	0.36438659794406686	0.44978970683720754	0	0	2.2436289500509683	2.2650329294746983	WNT5A
Positive Regulation Of Developmental Process (GO:0051094)	2/233	0.3674591849286584	0.45155701875781207	0	0	1.575998075998076	1.577799485793934	PHF10;WNT5A
Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200)	1/83	0.36789685763007013	0.45155701875781207	0	0	2.216155739539047	2.2160508229093034	CCKBR
Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436)	1/83	0.36789685763007013	0.45155701875781207	0	0	2.216155739539047	2.2160508229093034	TRIB3
Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000060)	1/83	0.36789685763007013	0.45155701875781207	0	0	2.216155739539047	2.2160508229093034	TRIB3
Regulation Of Interleukin-1 Beta Production (GO:0032651)	1/84	0.3713879066413096	0.45455787446661694	0	0	2.1893445340997015	2.168563696444947	WNT5A
Purine Ribonucleotide Metabolic Process (GO:0009150)	1/84	0.3713879066413096	0.45455787446661694	0	0	2.1893445340997015	2.168563696444947	ENTPD7
Regulation Of Osteoblast Differentiation (GO:0045667)	1/85	0.37485984922119914	0.45687687093018525	0	0	2.1631716906946266	2.122510678490708	SMOC1
